3089.65	4505.77	6856.25	9918.25	10724.7	 Bolivia (Plurinational State of)
53974.7	95982.5	150393	198614	207848	 Brazil
6142.9	9561.87	13141.2	17015	17948.1	 Chile
12340.9	22061.2	34271.6	45918.1	48228.7	 Colombia
3470.16	6072.52	10218.1	14934.7	16144.4	 Ecuador
2.261	1.991	1.993	2.856	2.903	 Falkland Islands (Malvinas)
25.479	47.929	115.782	233.795	268.606	 French Guiana
406.562	695.561	720.282	753.362	767.085	 Guyana
1473.24	2474.1	4213.74	6209.88	6639.12	 Paraguay
7727.73	13341.1	21826.7	29373.6	31376.7	 Peru
214.999	371.268	408.276	518.141	542.975	 Suriname
2238.51	2809.8	3109.99	3374.41	3431.55	 Uruguay
5481.98	11587.8	19862	28995.7	31108.1	 Venezuela (Bolivarian Republic of)
37.26	52.286	60.931	63.954	62.004	 Bermuda
13737	21439.2	27662.4	34126.2	35939.9	 Canada
22.998	46.075	55.603	56.546	56.186	 Greenland
4.573	5.457	6.279	6.274	6.288	 Saint Pierre and Miquelon
157813	209486	252848	309876	321774	 United States of America
8177.34	12904.8	17096.9	22162.9	23969	 Australia
1908	2819.55	3397.53	4369.03	4528.53	 New Zealand
288.993	520.529	728.626	859.952	892.145	 Fiji
64.824	105.025	168.537	246.345	263.118	 New Caledonia
1708.19	2434.76	4157.9	6847.52	7619.32	 Papua New Guinea
89.793	160.292	311.849	526.177	583.591	 Solomon Islands
47.695	85.388	146.633	236.299	264.652	 Vanuatu
59.65	83.88	130.482	159.44	169.885	 Guam
33.05	51.181	72.411	102.648	112.423	 Kiribati
13	20.397	47.3	52.428	52.993	 Marshall Islands
32	61.433	96.331	103.619	104.46	 Micronesia (Fed. States of)
2.953	6.493	9.157	10.025	10.222	 Nauru
6.999	13.203	43.972	53.86	55.07	 Northern Mariana Islands
7.441	11.481	15.089	20.47	21.291	 Palau
18.937	27.292	47.044	55.636	55.538	 American Samoa
15.079	21.406	17.613	20.284	20.833	 Cook Islands
60.268	110.496	198.37	268.065	282.764	 French Polynesia
4.667	5.13	2.332	1.621	1.61	 Niue
82.102	143.175	162.865	186.029	193.228	 Samoa
1.57	1.618	1.609	1.135	1.25	 Tokelau
47.22	84.37	95.152	103.947	106.17	 Tonga
5.166	7.296	9.004	9.827	9.916	 Tuvalu
7.002	8.84	13.88	13.565	13.151	 Wallis and Futuna Islands
